fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220930 201643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	131313	0.220035699096217	0.734813916599378	4133	265	8879	25530000	1
20220930 201704	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	131313	0.14309352629591	0.766806697081775	2304	402	5793	24500000	2
20220930 201737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	131313	0.0661535054528504	0.893461609557271	3253	661	10370	26300000	3
20220930 201756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	131313	0.156220352865057	0.438850121470168	2445	811	14056	23730000	4
20220930 201828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	131313	0.0631421025561285	0.309761343570426	7016	425	7249	25590000	5
20220930 201843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	131313	0.229997227428888	0.523201190996915	6055	474	6171	24460000	6
20220930 201906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	131313	0.122623926331929	0.355298225106671	5516	736	12906	24350000	7
20220930 201922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	131313	0.105749511503906	0.623296545632184	4692	305	10810	25020000	8
20220930 202014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	131313	0.0419206848926842	0.678014134205878	609	876	7544	26280000	9
20220930 202035	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	131313	0.201886183644296	0.597712930506095	5061	202	13488	23510000	10
20220930 202051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	131313	0.193002832794155	0.856435593282804	3944	546	8271	25620000	11
20220930 202109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	131313	0.167425343311508	0.4419451391045	1772	868	5183	24040000	12
20220930 202152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	131313	0.0897785847559571	0.807038358859718	164	336	11923	24720000	13
20220930 202205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	131313	0.279777511013206	0.932873262921348	6591	105	9921	24880000	14
20220930 202401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	774	TRUE	131313	0.0210451567310956	0.20142279827036	3111	680	13985	24190000	15
20220930 202748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1887	TRUE	131313	0.00723935926973354	0.688645464284346	7817	939	11130	25580000	16
20220930 202800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	131313	0.287978500928264	0.386755676725879	815	20	9352	22900000	17
20220930 202815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	131313	0.264873747899022	0.24426748287864	7294	607	14962	21680000	18
20220930 202842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	131313	0.249690328016237	0.970259243678302	1550	992	12297	24370000	19
20220930 202907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	131313	0.137186821308336	0.50575487639755	5846	165	6749	25790000	20
20220930 203210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	707	TRUE	131313	0.00939853163568555	0.903963348508183	3244	797	8942	26440000	21
20220930 203305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	131313	0.0491946433571677	0.848883228622806	468	873	9495	26050000	22
20220930 203347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	168	TRUE	131313	0.0430713893566131	0.726475127170456	4650	737	8231	26820000	23
20220930 203419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205	TRUE	131313	0.0468427226500692	0.9446711487702	7269	202	7922	26480000	24
20220930 203449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	131313	0.0567215389133372	0.796192169986016	5947	872	7902	25880000	25
20220930 204128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2157	TRUE	131313	0.00508743486525899	0.664107794620368	3495	685	8480	26880000	26
20220930 204300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	567	TRUE	131313	0.0183818712524092	0.721743623559635	4767	671	8705	26510000	27
20220930 204600	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	866	TRUE	131313	0.00906988004438598	0.594517617128991	2268	733	8082	26800000	28
20220930 205045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1892	TRUE	131313	0.00511948255580926	0.769451216511488	4014	191	7806	26310000	29
20220930 205119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	131313	0.0401535394670734	0.680032292089064	3456	737	8244	2.6e+07	30
20220930 205147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	141	TRUE	131313	0.0572743807275879	0.92890819520071	4543	622	7687	25670000	31
20220930 205647	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1095	TRUE	131313	0.00502466256324092	0.737290070075691	2336	690	8758	26890000	32
20220930 205723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	131313	0.04315349496927	0.756397608591442	6272	688	10114	26340000	33
20220930 210050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	835	TRUE	131313	0.00501421798653737	0.674785513799638	2774	667	5782	25960000	34
20220930 210507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1074	TRUE	131313	0.00501996407890008	0.655459750813688	1779	833	10669	26670000	35
20220930 211207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3074	TRUE	131313	0.00502942903716122	0.734416053105647	3790	749	11551	25700000	36
20220930 211724	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1044	TRUE	131313	0.00520426617578671	0.518998252426426	1376	921	9097	26690000	37
20220930 211813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	295	TRUE	131313	0.0455112197160148	0.742646568755221	5968	838	7385	26190000	38
20220930 211853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	131313	0.0442000995748506	0.821782159685536	3700	227	8590	25860000	39
20220930 212205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	801	TRUE	131313	0.00697182058696091	0.649958500940085	1792	537	9219	26770000	40
20220930 212338	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	456	TRUE	131313	0.0134745057532775	0.639451591305834	3527	927	8251	26220000	41
20220930 213146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	563	TRUE	131313	0.00508684992232523	0.659958393336005	10	661	8129	26710000	42
20220930 213231	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	263	TRUE	131313	0.0428353104708324	0.997191952441176	7255	835	8135	26450000	43
20220930 213959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2181	TRUE	131313	0.00510934976612379	0.5649420840031	5484	651	8362	26560000	44
20220930 214056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260	TRUE	131313	0.0428770621546453	0.417550308326769	5154	828	8226	26430000	45
20220930 214128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	131313	0.0503031429687137	0.928889114903708	7915	449	8916	26330000	46
20220930 214230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	336	TRUE	131313	0.0178607488661645	0.741798704705661	7915	479	7258	25650000	47
20220930 214549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	292	TRUE	131313	0.0182609571961513	0.765263610666491	2	487	8544	26120000	48
20220930 214629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	201	TRUE	131313	0.0734647640469105	0.557072435861325	5162	784	9925	26070000	49
20220930 214701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	131313	0.0649158730443476	0.731188190302643	5011	871	12466	24830000	50
20220930 214807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	131313	0.0682214481501692	0.649790082833146	0	947	8528	24070000	51
20220930 214839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	131313	0.0694636818950795	0.994529864527134	6878	70	9997	25850000	52
20220930 214909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	131313	0.0447061409722152	0.810232334798674	5357	677	8489	26470000	53
20220930 215311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	508	TRUE	131313	0.00508416638190784	0.696551748535062	798	749	8114	26660000	54
20220930 215808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1137	TRUE	131313	0.00501070857213371	0.580970844139499	2209	546	8778	26770000	55
20220930 220204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1269	TRUE	131313	0.0062791810454287	0.651395887900435	2844	859	8706	26510000	56
20220930 220257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289	TRUE	131313	0.0485344017105543	0.428770942177899	7978	740	8830	26180000	57
20220930 220854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	932	TRUE	131313	0.00505260522666125	0.419015928351635	1454	304	9369	27270000	58
20220930 221504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	771	TRUE	131313	0.00502982019974226	0.320464301840421	92	336	10041	26800000	59
20220930 221928	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	941	TRUE	131313	0.00502152328430994	0.307925791393927	1530	158	9340	26840000	60
20220930 222432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1302	TRUE	131313	0.00502907424903336	0.840209737654985	1433	277	9742	26920000	61
20220930 222937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1336	TRUE	131313	0.00501078396842476	0.354630349006463	2352	297	9613	26380000	62
